14049,15/02/2022,174,10
14050,15/02/2022,323,19
14051,15/02/2022,214,49
14052,15/02/2022,373,52
14053,15/02/2022,91,59
14054,15/02/2022,386,65
14055,15/02/2022,125,71
14056,15/02/2022,123,72
14057,15/02/2022,247,74
14058,15/02/2022,257,83
14059,15/02/2022,122,430
14060,15/02/2022,138,210
14061,16/02/2022,291,248
14062,16/02/2022,267,92
14063,16/02/2022,49,122
14064,16/02/2022,61,403
14065,16/02/2022,287,137
14066,16/02/2022,372,158
14067,16/02/2022,5,171
14068,16/02/2022,327,175
14069,16/02/2022,124,188
14070,16/02/2022,167,197
14071,16/02/2022,314,207
14072,16/02/2022,240,210
14073,16/02/2022,248,214
14074,16/02/2022,27,217
14075,16/02/2022,20,228
14076,16/02/2022,372,229
14077,16/02/2022,120,241
14078,16/02/2022,169,243
14079,16/02/2022,310,248
14080,17/02/2022,95,256
14081,17/02/2022,400,260
14082,17/02/2022,43,279
14083,17/02/2022,58,291
14084,17/02/2022,230,295
14085,17/02/2022,57,298
14086,17/02/2022,49,310
14087,17/02/2022,298,326
14088,17/02/2022,29,347
14089,17/02/2022,2,348
14090,17/02/2022,376,363
14091,17/02/2022,18,373
14092,17/02/2022,68,392
14093,17/02/2022,43,398
14094,17/02/2022,163,402
14095,17/02/2022,84,403
14096,17/02/2022,287,412
14097,17/02/2022,376,419
14098,17/02/2022,193,298
14099,18/02/2022,82,421
14100,18/02/2022,330,429
14101,18/02/2022,386,430
14102,18/02/2022,310,248
14103,18/02/2022,95,442
14104,18/02/2022,233,454
14105,18/02/2022,385,462
14106,18/02/2022,350,493
14107,18/02/2022,192,10
14108,18/02/2022,216,19
14109,18/02/2022,271,49
14110,18/02/2022,216,52
14111,18/02/2022,54,49
14112,18/02/2022,21,59
14113,18/02/2022,307,65
14114,18/02/2022,261,137
14115,18/02/2022,320,71
14116,18/02/2022,156,72
14117,18/02/2022,36,74
14118,19/02/2022,6,83
14119,19/02/2022,54,92
14120,19/02/2022,276,122
14121,19/02/2022,108,137
14122,19/02/2022,378,158
14123,19/02/2022,348,171
14124,19/02/2022,285,175
14125,19/02/2022,245,188
14126,19/02/2022,277,197
14127,19/02/2022,35,207
14128,19/02/2022,163,210
14129,19/02/2022,119,214
14130,19/02/2022,264,217
14131,19/02/2022,342,228
14132,19/02/2022,118,229
14133,19/02/2022,365,241
14134,19/02/2022,177,243
14135,19/02/2022,56,248
14136,19/02/2022,265,256
14137,20/02/2022,111,260
14138,20/02/2022,269,279
14139,20/02/2022,25,291
14140,20/02/2022,226,241
14141,20/02/2022,239,295
14142,20/02/2022,276,298
14143,20/02/2022,173,310
14144,20/02/2022,258,326
14145,20/02/2022,368,347
14146,20/02/2022,4,348
14147,20/02/2022,253,363
14148,20/02/2022,308,373
14149,20/02/2022,362,392
14150,20/02/2022,244,398
14151,20/02/2022,312,402
14152,20/02/2022,186,403
14153,20/02/2022,365,493
14154,20/02/2022,14,92
14155,20/02/2022,92,412
14156,21/02/2022,70,419
14157,21/02/2022,157,421
14158,21/02/2022,124,429
14159,21/02/2022,145,49
14160,21/02/2022,134,430
14161,21/02/2022,241,442
14162,21/02/2022,260,454
14163,21/02/2022,288,462
14164,21/02/2022,98,493
14165,21/02/2022,248,10
14166,21/02/2022,8,19
14167,21/02/2022,165,49
14168,21/02/2022,307,347
14169,21/02/2022,274,52
14170,21/02/2022,186,59
14171,21/02/2022,349,65
14172,21/02/2022,332,71
14173,21/02/2022,335,72
14174,21/02/2022,113,74
14175,22/02/2022,360,83
14176,22/02/2022,300,92
14177,22/02/2022,356,122
14178,22/02/2022,397,137
14179,22/02/2022,13,158
14180,22/02/2022,143,171
14181,22/02/2022,273,175
14182,22/02/2022,53,188
14183,22/02/2022,89,197
14184,22/02/2022,377,207
14185,22/02/2022,270,210
14186,22/02/2022,337,214
14187,22/02/2022,328,217
14188,22/02/2022,6,228
14189,22/02/2022,340,229
14190,22/02/2022,116,241
14191,22/02/2022,356,243
14192,22/02/2022,345,248
14193,22/02/2022,363,256
14194,23/02/2022,358,260
14195,23/02/2022,325,279
14196,23/02/2022,377,291
14197,23/02/2022,320,295
14198,23/02/2022,142,298
14199,23/02/2022,88,310
14200,23/02/2022,28,279
14201,23/02/2022,221,326
14202,23/02/2022,201,298
14203,23/02/2022,93,403
