1,01/01/2020,369,6
2,01/01/2020,393,440
3,01/01/2020,379,487
4,01/01/2020,329,108
5,01/01/2020,78,313
6,01/01/2020,38,148
7,01/01/2020,121,152
8,01/01/2020,76,150
9,01/01/2020,20,18
10,01/01/2020,262,406
11,01/01/2020,121,309
12,01/01/2020,221,136
13,01/01/2020,279,104
14,01/01/2020,139,69
15,01/01/2020,365,456
16,01/01/2020,310,443
17,01/01/2020,44,47
18,01/01/2020,135,100
19,01/01/2020,112,200
20,02/01/2020,146,475
21,02/01/2020,246,366
22,02/01/2020,323,418
23,02/01/2020,61,323
24,02/01/2020,71,399
25,02/01/2020,94,461
26,02/01/2020,127,272
27,02/01/2020,254,139
28,02/01/2020,366,411
29,02/01/2020,129,232
30,02/01/2020,378,143
31,02/01/2020,92,120
32,02/01/2020,177,30
33,02/01/2020,211,470
34,02/01/2020,115,184
35,02/01/2020,84,314
36,02/01/2020,373,423
37,02/01/2020,27,40
38,02/01/2020,91,185
39,03/01/2020,116,34
40,03/01/2020,314,268
41,03/01/2020,123,340
42,03/01/2020,215,73
43,03/01/2020,247,338
44,03/01/2020,165,142
45,03/01/2020,266,43
46,03/01/2020,121,444
47,03/01/2020,33,284
48,03/01/2020,311,440
49,03/01/2020,324,117
50,03/01/2020,53,123
51,03/01/2020,370,469
52,03/01/2020,319,329
53,03/01/2020,76,132
54,03/01/2020,80,254
55,03/01/2020,266,347
56,03/01/2020,212,230
57,03/01/2020,347,343
58,04/01/2020,39,431
59,04/01/2020,138,331
60,04/01/2020,69,335
61,04/01/2020,263,56
62,04/01/2020,198,346
63,04/01/2020,33,172
64,04/01/2020,356,151
65,04/01/2020,239,276
66,04/01/2020,247,480
67,04/01/2020,371,127
68,04/01/2020,177,77
69,04/01/2020,284,136
70,04/01/2020,210,318
71,04/01/2020,22,398
72,04/01/2020,249,14
73,04/01/2020,37,107
74,04/01/2020,87,101
75,04/01/2020,96,363
76,04/01/2020,210,3
77,05/01/2020,123,488
78,05/01/2020,220,105
